,firstname,lastname,party,total,individual,pac,contributor,race,state,icpsr
3,ben,sasse,republican,22200,22200,0,Mountain Group Partners,NES2,NE,41503
4,ben,sasse,republican,21600,21600,0,Stephens Group,NES2,NE,41503
5,ben,sasse,republican,20420,9420,11000,Microsoft Corp,NES2,NE,41503
6,ben,sasse,republican,19600,19600,0,Rdv Corp,NES2,NE,41503
7,ben,sasse,republican,19500,14000,5500,Prudential Financial,NES2,NE,41503
8,ben,sasse,republican,18725,14225,4500,Alphabet Inc,NES2,NE,41503
9,ben,sasse,republican,18000,18000,0,Capital Group,NES2,NE,41503
10,ben,sasse,republican,17800,17800,0,Affiliated Managers Group               ,NES2,NE,41503
11,ben,sasse,republican,16800,16800,0,Blackstone Group,NES2,NE,41503
12,ben,sasse,republican,16000,11000,5000,Capital Group Companies,NES2,NE,41503
13,ben,sasse,republican,15855,5855,10000,Union Pacific Corp,NES2,NE,41503
14,ben,sasse,republican,15000,5000,10000,GEO Group,NES2,NE,41503
15,ben,sasse,republican,14000,14000,0,Centene Corp                            ,NES2,NE,41503
16,ben,sasse,republican,13000,3000,10000,National Assn of Broadcasters,NES2,NE,41503
17,ben,sasse,republican,12750,5250,7500,Zurich Insurance Group,NES2,NE,41503
18,ben,sasse,republican,12200,12200,0,Centerview Partners,NES2,NE,41503
19,ben,sasse,republican,12200,12200,0,Kiewit Corp,NES2,NE,41503
0,john,cornyn,republican,138850,133850,5000,Apollo Global Management,TXS1,TX,40305
1,john,cornyn,republican,98615,95115,3500,KKR & Co                                ,TXS1,TX,40305
2,john,cornyn,republican,58930,58930,0,Blackstone Group                        ,TXS1,TX,40305
3,john,cornyn,republican,56491,51491,5000,Berkshire Hathaway,TXS1,TX,40305
4,john,cornyn,republican,50781,44781,6000,United Airlines Holdings,TXS1,TX,40305
5,john,cornyn,republican,45535,28535,17000,Pfizer Inc,TXS1,TX,40305
6,john,cornyn,republican,43551,43551,0,State of Texas,TXS1,TX,40305
7,john,cornyn,republican,42530,42530,0,SoftBank Corp,TXS1,TX,40305
8,john,cornyn,republican,34900,34900,0,"Paul, Weiss et al",TXS1,TX,40305
9,john,cornyn,republican,34876,24876,10000,NextEra Energy,TXS1,TX,40305
10,john,cornyn,republican,34600,34600,0,Citizens for Prosperity in America Today,TXS1,TX,40305
11,john,cornyn,republican,33600,33600,0,Duty Free Americas,TXS1,TX,40305
12,john,cornyn,republican,33600,28600,5000,GEO Group,TXS1,TX,40305
13,john,cornyn,republican,33550,23550,10000,General Atomics,TXS1,TX,40305
14,john,cornyn,republican,31875,21875,10000,FMR Corp,TXS1,TX,40305
15,john,cornyn,republican,29560,21060,8500,Visa Inc,TXS1,TX,40305
16,john,cornyn,republican,29175,29175,0,Insperity,TXS1,TX,40305
17,john,cornyn,republican,28830,18830,10000,DISH Network,TXS1,TX,40305
18,john,cornyn,republican,27885,17885,10000,JPMorgan Chase & Co,TXS1,TX,40305
19,john,cornyn,republican,27862,21112,6750,"Akin, Gump et al",TXS1,TX,40305
0,john,kennedy,republican,32700,32700,0,Apollo Global Management,LAS2,LA,41703
1,john,kennedy,republican,31105,31105,0,Ochsner Health System,LAS2,LA,41703
2,john,kennedy,republican,29005,29005,0,Blackstone Group,LAS2,LA,41703
3,john,kennedy,republican,27700,24700,3000,Stephens Inc,LAS2,LA,41703
4,john,kennedy,republican,20300,20300,0,Energy Transfer LP,LAS2,LA,41703
5,john,kennedy,republican,17500,17500,0,Investment Property Exchange Services,LAS2,LA,41703
6,john,kennedy,republican,17400,17400,0,Investments Ltd,LAS2,LA,41703
7,john,kennedy,republican,17400,17400,0,Reliance Systems,LAS2,LA,41703
8,john,kennedy,republican,17400,17400,0,Blue Owl Capital,LAS2,LA,41703
9,john,kennedy,republican,17400,17400,0,CaptiveAire Systems,LAS2,LA,41703
10,john,kennedy,republican,17150,17150,0,Hydrologic Distribution Co,LAS2,LA,41703
11,john,kennedy,republican,16733,16733,0,Station Casinos,LAS2,LA,41703
12,john,kennedy,republican,15800,5800,10000,Chevron Corp,LAS2,LA,41703
13,john,kennedy,republican,15600,15600,0,Southern Glazer's Wine & Spirits                  ,LAS2,LA,41703
14,john,kennedy,republican,15000,15000,0,Sargento Foods,LAS2,LA,41703
15,john,kennedy,republican,14753,14753,0,Walter Oil & Gas,LAS2,LA,41703
16,john,kennedy,republican,14700,14700,0,Hill & Co,LAS2,LA,41703
17,john,kennedy,republican,14500,14500,0,Bobby Cox Companies,LAS2,LA,41703
18,john,kennedy,republican,14105,14105,0,B&G Food Enterprises,LAS2,LA,41703
19,john,kennedy,republican,13800,6800,7000,Blessey Marine Service,LAS2,LA,41703
0,cindy,hyde-smith,republican,36300,36300,0,Seemann Composites,MSS1,MS,41707
1,cindy,hyde-smith,republican,24320,24320,0,NorPAC,MSS1,MS,41707
2,cindy,hyde-smith,republican,24180,19180,5000,Telapex Inc,MSS1,MS,41707
3,cindy,hyde-smith,republican,22100,22100,0,Addicus,MSS1,MS,41707
4,cindy,hyde-smith,republican,19400,19400,0,Ergon Inc,MSS1,MS,41707
5,cindy,hyde-smith,republican,18778,13778,5000,Huntington Ingalls Industries,MSS1,MS,41707
6,cindy,hyde-smith,republican,16800,16800,0,Pruet Oil,MSS1,MS,41707
7,cindy,hyde-smith,republican,16800,16800,0,Yates Construction,MSS1,MS,41707
8,cindy,hyde-smith,republican,16400,16400,0,Sanderson Farms,MSS1,MS,41707
9,cindy,hyde-smith,republican,15500,10500,5000,Community Bancshares of Mississippi,MSS1,MS,41707
10,cindy,hyde-smith,republican,14000,9000,5000,Leidos Inc,MSS1,MS,41707
11,cindy,hyde-smith,republican,14000,14000,0,Golding barge line,MSS1,MS,41707
12,cindy,hyde-smith,republican,13500,13500,0,Capitol Resources,MSS1,MS,41707
13,cindy,hyde-smith,republican,13175,5675,7500,General Atomics,MSS1,MS,41707
14,cindy,hyde-smith,republican,13100,8100,5000,Freeport-McMoRan,MSS1,MS,41707
15,cindy,hyde-smith,republican,12000,2000,10000,Butler Snow LLP,MSS1,MS,41707
16,cindy,hyde-smith,republican,11600,11600,0,Wade Inc,MSS1,MS,41707
17,cindy,hyde-smith,republican,11500,9000,2500,"Akin, Gump et al",MSS1,MS,41707
18,cindy,hyde-smith,republican,11200,11200,0,Amway/Alticor Inc,MSS1,MS,41707
19,cindy,hyde-smith,republican,11200,11200,0,G&S Holdings,MSS1,MS,41707
0,deb,fischer,republican,79850,70850,9000,Union Pacific Corp,NES1,NE,41302
1,deb,fischer,republican,41150,31150,10000,Northrop Grumman,NES1,NE,41302
2,deb,fischer,republican,37300,27300,10000,AFLAC Inc,NES1,NE,41302
3,deb,fischer,republican,31300,23800,7500,Delta Air Lines,NES1,NE,41302
4,deb,fischer,republican,28850,16350,12500,Comcast Corp,NES1,NE,41302
5,deb,fischer,republican,28650,20650,8000,BNSF Railway,NES1,NE,41302
6,deb,fischer,republican,27000,17000,10000,Cox Enterprises,NES1,NE,41302
7,deb,fischer,republican,26950,19950,7000,Matson Inc,NES1,NE,41302
8,deb,fischer,republican,22600,22600,0,Elliott Management,NES1,NE,41302
9,deb,fischer,republican,20650,20650,0,NorPAC,NES1,NE,41302
10,deb,fischer,republican,20400,10400,10000,Tenaska Inc,NES1,NE,41302
11,deb,fischer,republican,20000,20000,0,Sinclair Broadcast Group,NES1,NE,41302
12,deb,fischer,republican,19700,19700,0,Dinkel Implement,NES1,NE,41302
13,deb,fischer,republican,18100,10800,7300,DISH Network,NES1,NE,41302
14,deb,fischer,republican,17700,7700,10000,Case New Holland,NES1,NE,41302
15,deb,fischer,republican,17250,4750,12500,"Brownstein, Hyatt et al",NES1,NE,41302
16,deb,fischer,republican,16200,16200,0,"Hagan, Noll & Boyle",NES1,NE,41302
17,deb,fischer,republican,16200,16200,0,Hawkins Construction,NES1,NE,41302
18,deb,fischer,republican,16200,16200,0,Jane Street Capital,NES1,NE,41302
19,deb,fischer,republican,16200,16200,0,Peter Kiewit Sons,NES1,NE,41302
0,ted,cruz,republican,268388,268388,0,Senate Conservatives Fund,TXS2,TX,41304
1,ted,cruz,republican,234832,234832,0,Club for Growth,TXS2,TX,41304
2,ted,cruz,republican,108101,108101,0,Woodforest National Bank,TXS2,TX,41304
3,ted,cruz,republican,95950,95950,0,NorPAC,TXS2,TX,41304
4,ted,cruz,republican,67051,57051,10000,Lockheed Martin,TXS2,TX,41304
5,ted,cruz,republican,64200,64200,0,Sullivan & Cromwell,TXS2,TX,41304
6,ted,cruz,republican,56115,56115,0,Stewart Title Guaranty,TXS2,TX,41304
7,ted,cruz,republican,47629,37629,10000,Delta Air Lines,TXS2,TX,41304
8,ted,cruz,republican,46100,41100,5000,Goldman Sachs,TXS2,TX,41304
9,ted,cruz,republican,45872,35872,10000,BNSF Railway,TXS2,TX,41304
10,ted,cruz,republican,42750,42750,0,Pbf Energy,TXS2,TX,41304
11,ted,cruz,republican,42474,32474,10000,Republican Jewish Coalition,TXS2,TX,41304
12,ted,cruz,republican,42400,37402,4998,Southwest Airlines,TXS2,TX,41304
13,ted,cruz,republican,42225,42225,0,Insperity,TXS2,TX,41304
14,ted,cruz,republican,41300,41300,0,"Gibson, Dunn & Crutcher",TXS2,TX,41304
15,ted,cruz,republican,39000,36500,2500,Greenberg Traurig LLP,TXS2,TX,41304
16,ted,cruz,republican,37800,37800,0,Duty Free Americas,TXS2,TX,41304
17,ted,cruz,republican,37100,37100,0,Taste of Texas Restaurant,TXS2,TX,41304
18,ted,cruz,republican,36638,26638,10000,USAA,TXS2,TX,41304
19,ted,cruz,republican,35848,26848,9000,American Airlines,TXS2,TX,41304
0,bill,cassidy,republican,60240,60240,0,Ochsner Health System,LAS1,LA,20919
1,bill,cassidy,republican,59200,59200,0,NorPAC,LAS1,LA,20919
2,bill,cassidy,republican,57645,44645,13000,KKR & Co,LAS1,LA,20919
3,bill,cassidy,republican,49600,49600,0,Neurological Surgery Pc,LAS1,LA,20919
4,bill,cassidy,republican,42300,42300,0,McNa Dental Plans,LAS1,LA,20919
5,bill,cassidy,republican,39200,37200,2000,Berkshire Hathaway,LAS1,LA,20919
6,bill,cassidy,republican,30650,30650,0,Acadian Companies,LAS1,LA,20919
7,bill,cassidy,republican,28650,18650,10000,Citizens for Prosperity in America Today,LAS1,LA,20919
8,bill,cassidy,republican,23400,23400,0,Southern Brain & Spine,LAS1,LA,20919
9,bill,cassidy,republican,21075,16075,5000,Amedisys Inc,LAS1,LA,20919
10,bill,cassidy,republican,20025,19025,1000,Jones Walker LLP,LAS1,LA,20919
11,bill,cassidy,republican,19625,19625,0,Metro Aviation Inc,LAS1,LA,20919
12,bill,cassidy,republican,19600,19600,0,Sixty West                                        ,LAS1,LA,20919
13,bill,cassidy,republican,19200,8700,10500,No Labels,LAS1,LA,20919
14,bill,cassidy,republican,18700,18700,0,Ray Brandt Auto Group                             ,LAS1,LA,20919
15,bill,cassidy,republican,18300,13300,5000,Murphy Oil,LAS1,LA,20919
16,bill,cassidy,republican,17590,17090,500,Entergy Corp,LAS1,LA,20919
17,bill,cassidy,republican,17150,8650,8500,Centene Corp                            ,LAS1,LA,20919
18,bill,cassidy,republican,17075,17075,0,Viemed,LAS1,LA,20919
19,bill,cassidy,republican,16900,11900,5000,Blessey Marine Service,LAS1,LA,20919
0,tim,kaine,democrat,182467,173557,8910,JStreetPAC,VAS1,VA,41305
1,tim,kaine,democrat,134150,134150,0,Covington & Burling,VAS1,VA,41305
2,tim,kaine,democrat,69352,63852,5500,"Akin, Gump et al",VAS1,VA,41305
3,tim,kaine,democrat,69220,59220,10000,Huntington Ingalls Industries,VAS1,VA,41305
4,tim,kaine,democrat,65338,57305,8033,League of Conservation Voters,VAS1,VA,41305
5,tim,kaine,democrat,61051,51051,10000,Altria Group,VAS1,VA,41305
6,tim,kaine,democrat,59000,59000,0,Golden Gate Capital,VAS1,VA,41305
7,tim,kaine,democrat,58700,48700,10000,Centene Corp,VAS1,VA,41305
8,tim,kaine,democrat,57215,52215,5000,McGuireWoods LLP,VAS1,VA,41305
9,tim,kaine,democrat,54125,54125,0,Wiley Rein LLP,VAS1,VA,41305
10,tim,kaine,democrat,53254,53254,0,University of Virginia,VAS1,VA,41305
11,tim,kaine,democrat,51576,51576,0,Hunton Andrews Kurth LLP,VAS1,VA,41305
12,tim,kaine,democrat,49218,45218,4000,Hogan Lovells,VAS1,VA,41305
13,tim,kaine,democrat,48779,38779,10000,Northrop Grumman,VAS1,VA,41305
14,tim,kaine,democrat,45650,45650,0,Bloomberg Lp,VAS1,VA,41305
15,tim,kaine,democrat,45420,35420,10000,DLA Piper,VAS1,VA,41305
16,tim,kaine,democrat,43300,43300,0,Grant & Eisenhofer,VAS1,VA,41305
17,tim,kaine,democrat,42676,33676,9000,Genworth Financial,VAS1,VA,41305
18,tim,kaine,democrat,41600,41600,0,Sullivan & Cromwell,VAS1,VA,41305
19,tim,kaine,democrat,41024,35524,5500,Holland & Knight,VAS1,VA,41305
0,sherrod,brown,democrat,229447,229447,0,Ohio State University,OHS1,OH,29389
1,sherrod,brown,democrat,199524,189525,9999,League of Conservation Voters,OHS1,OH,29389
2,sherrod,brown,democrat,178872,169166,9706,JStreetPAC,OHS1,OH,29389
3,sherrod,brown,democrat,117526,117526,0,Votesane PAC,OHS1,OH,29389
4,sherrod,brown,democrat,101744,101744,0,Cleveland Clinic,OHS1,OH,29389
5,sherrod,brown,democrat,99841,99841,0,Case Western Reserve University,OHS1,OH,29389
6,sherrod,brown,democrat,69949,59949,10000,Baker & Hostetler,OHS1,OH,29389
7,sherrod,brown,democrat,66561,61561,5000,Thompson Hine LLP,OHS1,OH,29389
8,sherrod,brown,democrat,64496,64496,0,Jones Day,OHS1,OH,29389
9,sherrod,brown,democrat,64268,64268,0,"Kohrman, Jackson & Krantz",OHS1,OH,29389
10,sherrod,brown,democrat,57173,57173,0,Oberlin College,OHS1,OH,29389
11,sherrod,brown,democrat,49190,39190,10000,Nationwide,OHS1,OH,29389
12,sherrod,brown,democrat,49152,43152,6000,Squire Patton Boggs,OHS1,OH,29389
13,sherrod,brown,democrat,48791,39291,9500,"Vorys, Sater et al",OHS1,OH,29389
14,sherrod,brown,democrat,47535,47535,0,University of Cincinnati,OHS1,OH,29389
15,sherrod,brown,democrat,46966,45066,1900,AK Steel,OHS1,OH,29389
16,sherrod,brown,democrat,45919,45919,0,Cincinnati Children's Hospital Medical Center,OHS1,OH,29389
17,sherrod,brown,democrat,45287,45287,0,Nationwide Children's Hospital,OHS1,OH,29389
18,sherrod,brown,democrat,44948,34948,10000,Procter & Gamble,OHS1,OH,29389
19,sherrod,brown,democrat,39420,29420,10000,Prudential Financial,OHS1,OH,29389
0,amy,klobuchar,democrat,65135,60385,4750,Dorsey & Whitney,MNS2,MN,40700
1,amy,klobuchar,democrat,60314,50314,10000,Delta Air Lines,MNS2,MN,40700
2,amy,klobuchar,democrat,53875,41375,12500,Cargill Inc,MNS2,MN,40700
3,amy,klobuchar,democrat,53075,44075,9000,General Mills,MNS2,MN,40700
4,amy,klobuchar,democrat,49630,39630,10000,Land O'Lakes,MNS2,MN,40700
5,amy,klobuchar,democrat,48758,48758,0,University of Minnesota,MNS2,MN,40700
6,amy,klobuchar,democrat,46006,36506,9500,Target Corp,MNS2,MN,40700
7,amy,klobuchar,democrat,44156,44150,6,Womencount PAC,MNS2,MN,40700
8,amy,klobuchar,democrat,43400,33400,10000,Morgan Stanley,MNS2,MN,40700
9,amy,klobuchar,democrat,40090,30090,10000,Xcel Energy,MNS2,MN,40700
10,amy,klobuchar,democrat,38781,33781,5000,Walt Disney Co                          ,MNS2,MN,40700
11,amy,klobuchar,democrat,38645,28645,10000,US Bancorp,MNS2,MN,40700
12,amy,klobuchar,democrat,38500,30400,8100,Robins Kaplan LLP,MNS2,MN,40700
13,amy,klobuchar,democrat,36005,26005,10000,Medtronic Inc,MNS2,MN,40700
14,amy,klobuchar,democrat,35970,25970,10000,Microsoft Corp,MNS2,MN,40700
15,amy,klobuchar,democrat,34765,34765,0,"Wachtell, Lipton et al",MNS2,MN,40700
16,amy,klobuchar,democrat,32398,22400,9998,Lockridge Grindal Nauen PLLP,MNS2,MN,40700
17,amy,klobuchar,democrat,32325,24825,7500,Ecolab Inc,MNS2,MN,40700
18,amy,klobuchar,democrat,28500,20600,7900,Yelp Inc,MNS2,MN,40700
19,amy,klobuchar,democrat,28300,20800,7500,Unitedhealth Group,MNS2,MN,40700
20,tommy,tuberville,republican,67896,67896,0,Club for Growth,ALS1,AL,42102
21,tommy,tuberville,republican,64900,64900,0,Hometown Lenders,ALS1,AL,42102
22,tommy,tuberville,republican,38900,28900,10000,Drummond Co,ALS1,AL,42102
23,tommy,tuberville,republican,30500,30500,0,Wellborn Cabinet                                  ,ALS1,AL,42102
24,tommy,tuberville,republican,25110,25110,0,Collazo Enterprises,ALS1,AL,42102
25,tommy,tuberville,republican,23900,23900,0,Broadway Group,ALS1,AL,42102
26,tommy,tuberville,republican,22600,22600,0,Proshot Concrete,ALS1,AL,42102
27,tommy,tuberville,republican,22100,22100,0,Trivector Services                                ,ALS1,AL,42102
28,tommy,tuberville,republican,21800,21800,0,Smith's Inc,ALS1,AL,42102
29,tommy,tuberville,republican,21600,21600,0,Great Southern Wood Preserving,ALS1,AL,42102
30,tommy,tuberville,republican,21600,21600,0,Ona Atlanta,ALS1,AL,42102
31,tommy,tuberville,republican,20910,20910,0,Auburn University,ALS1,AL,42102
32,tommy,tuberville,republican,20850,20850,0,Woodland Homes,ALS1,AL,42102
33,tommy,tuberville,republican,20100,20100,0,Breland Homes,ALS1,AL,42102
34,tommy,tuberville,republican,20000,20000,0,Best Auto Sales,ALS1,AL,42102
35,tommy,tuberville,republican,20000,20000,0,"Beasley, Allen et al",ALS1,AL,42102
36,tommy,tuberville,republican,19600,19600,0,Conference America,ALS1,AL,42102
37,tommy,tuberville,republican,17330,17330,0,Southern States Bank,ALS1,AL,42102
38,tommy,tuberville,republican,16800,16800,0,Flora-Bama Package & Lounge,ALS1,AL,42102
39,tommy,tuberville,republican,16800,16800,0,Econo-Med Inc,ALS1,AL,42102
0,thom,tillis,republican,93286,93286,0,Blackstone Group,NCS1,NC,41504
1,thom,tillis,republican,78155,67655,10500,Truist Financial,NCS1,NC,41504
2,thom,tillis,republican,58475,48475,10000,Goldman Sachs,NCS1,NC,41504
3,thom,tillis,republican,57890,47890,10000,Bank of America,NCS1,NC,41504
4,thom,tillis,republican,57294,53294,4000,Wells Fargo,NCS1,NC,41504
5,thom,tillis,republican,50341,43841,6500,Charter Communications,NCS1,NC,41504
6,thom,tillis,republican,44439,39439,5000,Duke Energy,NCS1,NC,41504
7,thom,tillis,republican,43402,40902,2500,Apollo Global Management,NCS1,NC,41504
8,thom,tillis,republican,41900,41900,0,Elliott Management,NCS1,NC,41504
9,thom,tillis,republican,41250,36250,5000,Capital Group Companies,NCS1,NC,41504
10,thom,tillis,republican,40959,21959,19000,AbbVie Inc,NCS1,NC,41504
11,thom,tillis,republican,35925,31925,4000,McGuireWoods LLP,NCS1,NC,41504
12,thom,tillis,republican,35738,28238,7500,Nucor Corp,NCS1,NC,41504
13,thom,tillis,republican,34600,24600,10000,Live Oak Bank,NCS1,NC,41504
14,thom,tillis,republican,34454,31954,2500,FMR Corp                                ,NCS1,NC,41504
15,thom,tillis,republican,33407,27907,5500,Citizens Financial Group,NCS1,NC,41504
16,thom,tillis,republican,33117,28117,5000,Facebook Inc,NCS1,NC,41504
17,thom,tillis,republican,32000,32000,0,Stedman West Interests,NCS1,NC,41504
18,thom,tillis,republican,31800,31800,0,Kirkland & Ellis,NCS1,NC,41504
19,thom,tillis,republican,31569,21569,10000,EmergeOrtho,NCS1,NC,41504
0,mark,warner,democrat,100451,100451,0,"Wachtell, Lipton et al                  ",VAS2,VA,40909
1,mark,warner,democrat,64553,64553,0,Apollo Global Management,VAS2,VA,40909
2,mark,warner,democrat,49400,43400,6000,Goldman Sachs,VAS2,VA,40909
3,mark,warner,democrat,48896,44896,4000,Amazon.com,VAS2,VA,40909
4,mark,warner,democrat,43706,39682,4024,"Akin, Gump et al",VAS2,VA,40909
5,mark,warner,democrat,41496,41496,0,Covington & Burling,VAS2,VA,40909
6,mark,warner,democrat,38250,33200,5050,WPP Group,VAS2,VA,40909
7,mark,warner,democrat,36295,26295,10000,Truist Financial,VAS2,VA,40909
8,mark,warner,democrat,36205,31205,5000,MasterCard Inc,VAS2,VA,40909
9,mark,warner,democrat,35865,35865,0,Sullivan & Cromwell,VAS2,VA,40909
10,mark,warner,democrat,35763,35763,0,Huntington Ingalls Industries,VAS2,VA,40909
11,mark,warner,democrat,35610,30610,5000,Morgan Stanley,VAS2,VA,40909
12,mark,warner,democrat,35345,35345,0,"Paul, Weiss et al                       ",VAS2,VA,40909
13,mark,warner,democrat,33017,30017,3000,Deloitte LLP,VAS2,VA,40909
14,mark,warner,democrat,31568,31568,0,Commonwealth of Virginia                ,VAS2,VA,40909
15,mark,warner,democrat,30860,23860,7000,Accenture,VAS2,VA,40909
16,mark,warner,democrat,30800,30800,0,Windem                                            ,VAS2,VA,40909
17,mark,warner,democrat,30733,12233,18500,Blue Cross/Blue Shield,VAS2,VA,40909
18,mark,warner,democrat,30130,21630,8500,Comcast Corp,VAS2,VA,40909
19,mark,warner,democrat,30119,22619,7500,Microsoft Corp,VAS2,VA,40909
0,tina,smith,democrat,156676,156676,0,University of Minnesota,MNS1,MN,41706
1,tina,smith,democrat,155267,145267,10000,Emily's List,MNS1,MN,41706
2,tina,smith,democrat,104063,104063,0,Democracy Engine,MNS1,MN,41706
3,tina,smith,democrat,67650,67650,0,Signature Bank,MNS1,MN,41706
4,tina,smith,democrat,60727,60727,0,State of Minnesota,MNS1,MN,41706
5,tina,smith,democrat,47171,22671,24500,Blue Cross/Blue Shield,MNS1,MN,41706
6,tina,smith,democrat,41936,41936,0,Mayo Clinic,MNS1,MN,41706
7,tina,smith,democrat,39980,29980,10000,Comcast Corp,MNS1,MN,41706
8,tina,smith,democrat,39500,39500,0,Pohlad Companies                                  ,MNS1,MN,41706
9,tina,smith,democrat,38180,28180,10000,Ecolab Inc,MNS1,MN,41706
10,tina,smith,democrat,38175,32175,6000,Dorsey & Whitney,MNS1,MN,41706
11,tina,smith,democrat,36862,28862,8000,Alphabet Inc,MNS1,MN,41706
12,tina,smith,democrat,35890,25890,10000,US Bancorp,MNS1,MN,41706
13,tina,smith,democrat,35705,25705,10000,General Mills,MNS1,MN,41706
14,tina,smith,democrat,34996,29665,5331,Lockridge Grindal Nauen PLLP,MNS1,MN,41706
15,tina,smith,democrat,30498,20498,10000,UnitedHealth Group,MNS1,MN,41706
16,tina,smith,democrat,29500,19500,10000,Wells Fargo,MNS1,MN,41706
17,tina,smith,democrat,28122,18122,10000,Medtronic Inc,MNS1,MN,41706
18,tina,smith,democrat,28054,23054,5000,3M Co,MNS1,MN,41706
19,tina,smith,democrat,28000,28000,0,Heartland Realty Investors,MNS1,MN,41706
0,bernie,sanders,other,15849,849,15000,Moveon.org,VTS1,VT,29147
1,bernie,sanders,other,15005,5005,10000,American Postal Workers Union,VTS1,VT,29147
2,bernie,sanders,other,15000,0,15000,National Assn of Letter Carriers,VTS1,VT,29147
3,bernie,sanders,other,10444,5444,5000,Service Employees International Union,VTS1,VT,29147
4,bernie,sanders,other,10141,141,10000,Communications Workers of America,VTS1,VT,29147
5,bernie,sanders,other,10000,0,10000,America Works,VTS1,VT,29147
6,bernie,sanders,other,10000,0,10000,American Federation of Teachers,VTS1,VT,29147
7,bernie,sanders,other,10000,0,10000,Climate Champions PAC,VTS1,VT,29147
8,bernie,sanders,other,10000,0,10000,Fearless for the People,VTS1,VT,29147
9,bernie,sanders,other,10000,0,10000,Transport Workers Union,VTS1,VT,29147
10,bernie,sanders,other,9815,9815,0,Google Inc,VTS1,VT,29147
11,bernie,sanders,other,8981,8981,0,University of Michigan,VTS1,VT,29147
12,bernie,sanders,other,8103,8103,0,University of California/Berkeley,VTS1,VT,29147
13,bernie,sanders,other,7418,7418,0,US Postal Service,VTS1,VT,29147
14,bernie,sanders,other,7400,7400,0,Dept of Children & Family Services,VTS1,VT,29147
15,bernie,sanders,other,7302,7302,0,Columbia University,VTS1,VT,29147
16,bernie,sanders,other,7299,7299,0,University of Maryland,VTS1,VT,29147
17,bernie,sanders,other,7103,103,7000,National Education Assn,VTS1,VT,29147
18,bernie,sanders,other,6298,6298,0,Boeing Co,VTS1,VT,29147
19,bernie,sanders,other,6119,6119,0,University of California,VTS1,VT,29147
0,tim,scott,republican,122205,122205,0,Votesane PAC,SCS1,SC,21173
1,tim,scott,republican,68000,58000,10000,Apollo Global Management,SCS1,SC,21173
2,tim,scott,republican,63000,63000,0,Goldman Sachs,SCS1,SC,21173
3,tim,scott,republican,51175,43675,7500,Visa Inc,SCS1,SC,21173
4,tim,scott,republican,46450,38450,8000,MetLife Inc,SCS1,SC,21173
5,tim,scott,republican,40610,40610,0,Blackstone Group,SCS1,SC,21173
6,tim,scott,republican,38600,38600,0,Kasowitz Benson Torres Llp,SCS1,SC,21173
7,tim,scott,republican,35800,25800,10000,Rock Holdings,SCS1,SC,21173
8,tim,scott,republican,30620,20620,10000,JPMorgan Chase & Co,SCS1,SC,21173
9,tim,scott,republican,29400,19400,10000,KKR & Co                                ,SCS1,SC,21173
10,tim,scott,republican,29000,29000,0,Johnson Development,SCS1,SC,21173
11,tim,scott,republican,28728,28728,0,NorPAC,SCS1,SC,21173
12,tim,scott,republican,28200,18200,10000,No Labels,SCS1,SC,21173
13,tim,scott,republican,28000,28000,0,Charles Ingram Lumber,SCS1,SC,21173
14,tim,scott,republican,27900,22400,5500,"Brownstein, Hyatt et al                 ",SCS1,SC,21173
15,tim,scott,republican,27600,22350,5250,"Akin, Gump et al",SCS1,SC,21173
16,tim,scott,republican,26751,21751,5000,New York Life Insurance,SCS1,SC,21173
17,tim,scott,republican,26550,24050,2500,Pro-Israel America PAC,SCS1,SC,21173
18,tim,scott,republican,25800,20300,5500,Amgen Inc,SCS1,SC,21173
19,tim,scott,republican,24500,17000,7500,NASDAQ Inc,SCS1,SC,21173
0,raphael,warnock,democrat,302756,302756,0,Alphabet Inc,GAS2,GA,42105
1,raphael,warnock,democrat,283753,283753,0,University of California                ,GAS2,GA,42105
2,raphael,warnock,democrat,169083,169083,0,J Street,GAS2,GA,42105
3,raphael,warnock,democrat,128596,128596,0,Emory University,GAS2,GA,42105
4,raphael,warnock,democrat,125471,125471,0,Microsoft Corp,GAS2,GA,42105
5,raphael,warnock,democrat,102508,102508,0,Apple Inc,GAS2,GA,42105
6,raphael,warnock,democrat,98719,98719,0,Stanford University,GAS2,GA,42105
7,raphael,warnock,democrat,95955,95955,0,Democracy Engine,GAS2,GA,42105
8,raphael,warnock,democrat,91419,91419,0,Kaiser Permanente,GAS2,GA,42105
9,raphael,warnock,democrat,89171,89171,0,US Government,GAS2,GA,42105
10,raphael,warnock,democrat,87828,87828,0,US Dept of Health & Human Services      ,GAS2,GA,42105
11,raphael,warnock,democrat,86234,86234,0,Amazon.com,GAS2,GA,42105
12,raphael,warnock,democrat,80716,80716,0,"Paul, Weiss et al                       ",GAS2,GA,42105
13,raphael,warnock,democrat,72483,72483,0,IBM Corp                                ,GAS2,GA,42105
14,raphael,warnock,democrat,68609,68609,0,Wilmerhale Llp,GAS2,GA,42105
15,raphael,warnock,democrat,66150,66150,0,Columbia University,GAS2,GA,42105
16,raphael,warnock,democrat,65980,65980,0,University of Washington,GAS2,GA,42105
17,raphael,warnock,democrat,65334,65334,0,University of Maryland,GAS2,GA,42105
18,raphael,warnock,democrat,63199,63199,0,Comcast Corp,GAS2,GA,42105
19,raphael,warnock,democrat,62499,62499,0,State of California                     ,GAS2,GA,42105
